INVOICE_AMOUNT,INVOICE_DATE,INVOICE_NO,PRODUCT_NO,QUANTITY,UNIT_COST,VENDOR_NUMBER
59.4,01/27/2022,12236414,10960824,6,10,10621500
84.27,10/28/2021,72528800,72723548,1,84,87961200
126.39,01/27/2022,14779544,28923492,11,11,10338400
183.87,01/30/2022,57344000,28975110,9,20,91707300
198.24,04/29/2021,12782400,72723500,12,17,10999100
201.12,01/12/2022,11151413,36799189,6,34,10838400
208,01/18/2022,71692700,29166218,32,7,81968800
225.91,12/28/2021,65519440,36336691,19,12,79738100
321.62,12/28/2021,12828760,36667045,26,12,95638100
379.17,05/13/2021,65529000,63506142,33,11,96738100
434.52,12/06/2021,16798500,96949965,9,48,84684200
487.54,03/09/2022,27151663,96952470,19,26,82461200
535.35,12/28/2021,58671400,36674341,43,12,11316100
631.67,01/27/2022,11158482,12767121,113,6,89715000
652.58,08/28/2021,14503868,10971023,134,5,81030400
696.52,03/09/2022,26323193,96950667,11,63,77699600
769.68,04/29/2021,65550440,72721407,72,11,81222700
781.75,03/09/2022,14212938,84826635,59,13,10621500
947.72,01/27/2022,16267124,10960673,19,50,82461200
1005.48,06/03/2021,24373140,29268003,28,36,10713800
1070.25,03/09/2022,88521020,84826659,25,43,10838400
1104,01/27/2022,30429400,10951708,24,46,88268800
1145.13,05/12/2021,29900100,48698911,7,164,80368800
1148.98,12/28/2021,59086100,36799431,29,40,81030400
1209.59,12/28/2021,14755290,36799613,43,28,94076500
1243.2,02/04/2022,91165670,96924180,37,34,77953500
1353.6,12/06/2021,13518592,96950001,64,21,94530400
1366.24,08/27/2021,16275707,29215223,16,85,87961200
1496.77,06/07/2021,15005000,96928524,121,12,97699600
1515.19,01/27/2022,21622061,21794781,277,5,82976500
1636.14,02/28/2022,13418714,48734025,67,24,10286800
1676.88,12/28/2021,12236548,36666513,136,12,10325300
1760.01,04/17/2021,14222991,11348398,87,20,82468800
1857.83,02/04/2022,88582030,72842370,461,4,10664500
1864.92,07/07/2021,17308500,29276267,3,622,10104500
1941.72,10/28/2021,11154644,72723560,11,177,10713800
1982.14,12/28/2021,57811800,36689212,46,43,11471500
1987.63,02/04/2022,91318540,72735951,47,42,93307300
