ORDER_NO,ORDER_DATE,CUSTOMER_NO,PRODUCT_NUMBER,ORDER_QUANTITY,SALES_PRICE,SHIP_DATE,SHIP_QUANTITY,INVOICE_NO,INVOICE_DATE,SUBTOTAL,TAX,INVOICE_TOTAL,DUE_DATE
37688,03/08/2020,100214,36667045,30,22.97,03/18/2020,30,566002,03/18/2020,689.1,56.85,745.95,04/17/2020
37689,04/02/2020,100140,10899801,38,140.72,04/12/2020,36,566003,04/12/2020,5065.92,417.94,5483.86,05/12/2020
37690,04/05/2020,100224,12863679,87,6.35,04/15/2020,87,566004,04/15/2020,552.45,45.58,598.03,05/15/2020
37691,05/03/2020,100187,36666513,14,30.05,05/13/2020,14,566005,05/13/2020,420.7,34.71,455.41,06/12/2020
37692,05/09/2020,100293,29171421,21,31.77,05/01/2020,21,566006,05/19/2020,667.17,55.04,722.21,06/18/2020
37693,11/15/2020,100214,36667045,30,22.97,11/25/2020,30,566007,11/25/2020,689.1,58.5735,747.6735,12/25/2020
37694,11/16/2020,100140,10899801,38,140.72,11/26/2020,38,566008,11/26/2020,5347.36,441.1572,5788.5172,12/26/2020
37695,11/16/2020,100224,12863679,87,6.35,11/26/2020,87,566009,11/26/2020,552.45,45.577125,598.027125,12/26/2020
37696,11/18/2020,100187,36666513,14,30.05,11/28/2020,14,566010,11/28/2020,420.7,34.70775,455.40775,12/28/2020
37697,11/19/2020,100293,29171421,21,31.77,11/29/2020,21,566011,11/29/2020,667.17,55.041525,722.211525,12/29/2020
37698,11/20/2020,100214,36667045,30,22.97,11/30/2020,30,566012,11/30/2020,689.1,56.85075,745.95075,12/30/2020
37699,11/20/2020,100140,10899801,38,140.72,11/30/2020,38,566013,11/30/2020,5347.36,441.1572,5788.5172,12/30/2020
37700,11/20/2020,100180,10891211,40,1.75,11/30/2020,40,566014,11/30/2020,70,5.78,75.78,01/06/2021
37701,11/20/2020,100269,10951708,16,17.68,11/30/2020,16,566015,11/30/2020,282.88,23.34,306.22,01/08/2021
37702,11/20/2020,100133,29007381,48,8.5,11/30/2020,48,566016,11/30/2020,408,33.66,441.66,01/08/2021
37703,11/25/2020,100252,10960673,1,530.98,12/05/2020,1,566017,12/05/2020,12212.54,1007.53,13220.07,01/09/2021
